Abk,Name
MNK.DE,Minerals Technologies Inc.
MOH.DE,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne"
MOM.DE,Mahindra &amp; Mahindra Limited
MOO.DE,Monsanto Company
MOR.DE,MorphoSys AG
MOS.DE,Orange Belgium S.A.
MPC.DE,Münchmeyer Petersen Capital AG
MPW.DE,ManpowerGroup Inc.
MPX.DE,Mitsubishi Paper Mills Ltd.
MQY.DE,Delphi Energy Corp.
MRK.DE,Merck KGaA
MSI.DE,"Mitsui Chemicals, Inc."
MSN.DE,Marsh & McLennan Companies Inc
MTA.DE,MULTI-UNITS LUXEMBOURG - Lyxor Euro Government Bond 1-3Y (DR) UCITS ETF
MTB.DE,MULTI-UNITS LUXEMBOURG - Lyxor Euro Government Bond 3-5Y (DR) UCITS ETF
MTC.DE,MULTI-UNITS LUXEMBOURG - Lyxor Euro Government Bond 5-7Y (DR) UCITS ETF - Acc
MTD.DE,MULTI-UNITS LUXEMBOURG - Lyxor Euro Government Bond 7-10Y (DR) UCITS ETF
MTK.DE,Midland Holdings Ltd.
MTVR.DE,L&G Metaverse ESG Exclusions UCITS ETF
MTW.DE,"Matsui Securities Co., Ltd."
MTX.DE,MTU Aero Engines AG
MUB.DE,Mühlbauer Holding AG
MUE.DE,3D Oil Limited
MUI.DE,"Marui Group Co., Ltd."
MUJ.DE,Mitsubishi Materials Corp.
MUX.DE,Mutares SE & Co. KGaA
MVF.DE,O Luxe Holdings Limited
MVIN.DE,Microvision Inc
MWB.DE,mwb fairtrade Wertpapierhandelsbank AG
MXI.DE,"Maxim Integrated Products, Inc."
MYC.DE,"Pocket Card Co., Ltd."
MYD.DE,"Myriad Genetics, Inc."
MZZ.DE,S i2i Limited
NADA.DE,Lyxor Core MSCI Japan (DR) UCITS ETF 2
NAP.DE,North American Palladium Ltd.
NAVB.DE,INAV IS.STX EURLA.200(DE)
NAVI.DE,INAV ISHARES DJ IND AV DE
NBO.DE,Nisshinbo Holdings Inc.
NEM.DE,Nemetschek SE
NEN.DE,Renesas Electronics Corporation
NEX.DE,Nippon Express Co. Ltd.
NFG.DE,National Fuel Gas Company
NHS.DE,"Northwest Bancshares, Inc."
NIB.DE,Nidec Corporation
NIC.DE,Azure Minerals Limited
NJR.DE,"New Japan Radio Co., Ltd."
NKE.DE,"NIKE, Inc."
NMI.DE,Aladdin Healthcare Technologies SE
NMM.DE,Newmont Corporation
NMR.DE,Nova Measuring Instruments Ltd.
NOC.DE,Northam Platinum Limited
NOVA.DE,Novo Nordisk A/S
NOVC.DE,Novo Nordisk A/S
NPV.DE,"Nippon Carbon Co., Ltd."
NRT.DE,"Terra Nitrogen Company, L.P."
NSC.DE,"Nissan Chemical Industries, Ltd."
NTG.DE,Nabaltec AG
NTR.DE,"Spectrum Pharmaceuticals, Inc."
NUO.DE,Nucor Corporation
NUS.DE,Nu Skin Enterprises Inc.
NUVA.DE,Noratis AG
NVAC.DE,Banpu Public Company Limited
NVAX.DE,Hana Microelectronics Public Company Limited
NVG.DE,NuVista Energy Ltd.
NVQ.DE,Novabase SGPS SA
NVR.DE,URU Metals Limited
NWG.DE,New Wave Group AB (publ)
NWL.DE,Newell Brands Inc.
NWN.DE,Vanadiumcorp Resource Inc.
NWS.DE,NWS Holdings Ltd.
NXEN.DE,"Apricus Biosciences, Inc."
NXG.DE,Next Plc
NXU.DE,Nexus AG
NYT.DE,The New York Times Company
OAIA.DE,Ramayana Lestari Sentosa tbk PT
OCC.DE,Optical Cable Corp.
OCN.DE,Omnicom Group Inc.
OFC.DE,Oriflame Holding AG
OII.DE,"Oceaneering International, Inc."
OIL.DE,Lyxor Index Fund - Lyxor Stoxx Europe 600 Oil & Gas UCITS ETF
OIS.DE,Oil Search Limited
OLB.DE,Oldenburgische Landesbank AG
OLD.DE,"Cracker Barrel Old Country Store, Inc."
OLN.DE,Olin Corporation
ONL.DE,Arrium Limited
OPA.DE,ORPEA Société Anonyme
OPEN.DE,iShares Refinitiv Inclusion and Diversity UCITS ETF
ORA.DE,Ordina NV
ORC.DE,Oracle Corporation
OSA.DE,"Osaka Gas Co., Ltd."
OSG.DE,OSG Corp.
OSI.DE,Oremex Silver Inc.
OSW.DE,PT Bakrie Sumatera Plantations Tbk
PAA.DE,PartnerRe Ltd.
PAC.DE,BNP Paribas Easy MSCI Pacific ex Japan ESG Filtered Min TE
PAG.DE,PREOS Global Office Real Estate & Technology AG
PAR.DE,Parker-Hannifin Corporation
PAX.DE,PAREXEL International Corporation
PBB.DE,Deutsche Pfandbriefbank AG
PBD.DE,"Protalix BioTherapeutics, Inc."
PBS.DE,"Pep Boys - Manny, Moe &amp; Jack"
PBW.DE,Pitney Bowes Inc.
PBY.DE,Publity AG
PCG.DE,PG&E Corporation
PDM.DE,Piedmont Natural Gas Co. Inc.
PDP.DE,Pacific Brands Limited
PEO.DE,Exelon Corporation
PEP.DE,"PepsiCo, Inc."
PFE.DE,Pfizer Inc.
PFS.DE,Perficient Inc.
PFTA.DE,Elanix Biotechnologies AG
PFV.DE,Pfeiffer Vacuum Technology AG
PFX.DE,Perma-Fix Environmental Services Inc.
PGC.DE,Poligrafica San Faustino SpA
PGJ.DE,Towngas China Company Limited
PGM.DE,Stillwater Mining Company
PGP.DE,"Progenics Pharmaceuticals, Inc."
PGR.DE,Progress Software Corporation
PHG.DE,Lyxor Index Fund - Lyxor STOXX Europe 600 Personal & Household Goods UCITS ETF Acc
PHO.DE,Phosphate Australia Limited
PID.DE,PICO Holdings Inc.
PIE.DE,Prelios S.p.A.
PIK.DE,Pick n Pay Stores Ltd.
PIO.DE,Pioneer Corporation
PIT.DE,Pittler Maschinenfabrik AG
PJP.DE,X5 Retail Group N.V.
PKB.DE,Park &amp; Bellheimer AG
PKE.DE,Park Electrochemical Corp.
PKG.DE,PKC Group Oyj
PKW.DE,Polyplex (Thailand) Public Company Limited
PKX.DE,POSCO
PLL.DE,"Prudential Financial, Inc."
PLM.DE,"Plains All American Pipeline, L.P."
PLX.DE,Expat Poland WIG20 UCITS ETF
PML.DE,Primepulse SE
PNF.DE,Pininfarina SpA
PNI.DE,Pan Asia Corporation Limited
PNK.DE,Pioneer Natural Resources Co.
PNR.DE,Pentair plc
PNT.DE,Pentair plc
PRAC.DE,Amundi Index Solutions - Amundi Prime Euro Corporates
PRF.DE,VanEck Vectors Preferred US Equity UCITS ETF
PRG.DE,The Procter & Gamble Company
PRH.DE,"Prosegur Compañía de Seguridad, S.A."
PRK.DE,ProAssurance Corporation
PRU.DE,Prudential plc
PRVA.DE,Provident Financial plc
PSFE.DE,Invesco Euro IG Corporate Bond ESG UCITS ETF
PSH.DE,Sernova Corp.
PSM.DE,ProSiebenSat.1 Media SE
PSN.DE,"SENSIO Technologies, Inc."
PSQ.DE,Somboon Advance Technology Public Company Limited
PSX.DE,Daphne International Holdings Limited
PTC.DE,"Pharol, SGPS S.A."
PTM.DE,"Plantronics, Inc."
PTN.DE,Palatin Technologies Inc.
PTY.DE,The Brink&apos;s Company
PUK.DE,PRD Energy Inc.
PVEN.DE,Chinese Strategic Holdings Limited
PVH.DE,PVH Corp.
PWC.DE,Pinnacle West Capital Corporation
PWV.DE,Powerwave Technologies Inc.
PXI.DE,"Shandong Molong Petroleum Machinery Co., Ltd."
PXJ.DE,Aurasian Minerals plc
PXR.DE,Praxair Inc.
PXS.DE,Paragon Care Limited
PYR.DE,Pyrum Innovations AG
QCH.DE,Computershare Limited
QCLN.DE,First Trust Nasdaq Clean Edge Green Energy UCITS ETF
QSR.DE,Quicksilver Resources Inc.
QUS.DE,Questar Corporation
QYLE.DE,Global X NASDAQ 100 Covered Call UCITS ETF
REAL.DE,Amundi Index Solutions - Amundi FTSE EPRA Europe Real Estate
RENW.DE,L&G Clean Energy UCITS ETF
RES.DE,"Claude Resources, Inc."
RETA.DE,Regal Entertainment Group
REW.DE,Renishaw plc
RGI.DE,Regis Corp.
RHE.DE,CanAm Coal Corp.
RHI.DE,"Red Hat, Inc."
RHM.DE,Rheinmetall AG
RHO.DE,Roche Holding AG
RHS.DE,Seanergy Maritime Holdings Corp.
RIV.DE,Digital River Inc.
RJA.DE,Talisman Mining Ltd
RJF.DE,"Raymond James Financial, Inc."
RJN.DE,Strike Energy Limited
RLX.DE,Polemos plc
RMS.DE,Premier Exhibitions Inc.
RNW.DE,RealNetworks Inc.
ROM.DE,"ROHM Co., Ltd."
ROP.DE,"Roper Technologies, Inc."
ROR.DE,SunMirror AG
ROXA.DE,Radio One Inc.
RPG.DE,Regent Pacific Group Ltd
RPU.DE,"Republic Services, Inc."
RRC.DE,Regency Centers Corporation
RRZ.DE,Ramelius Resources Limited
RSX.DE,Sun Resources NL
RTA.DE,Lyxor Index Fund - Lyxor STOXX Europe 600 Retail UCITS ETF Acc
RTC.DE,RealTech AG
RTG.DE,Rock-Tenn Company
RUSL.DE,Lyxor MSCI Russia UCITS ETF
RWL.DE,"Rockwell Automation, Inc."
RWW.DE,"Mediaset España Comunicación, SA"
RXRX.DE,"EB.REX.GER. 10,5+ Y TR"
RXT.DE,Sirona Dental Systems Inc.
RYI.DE,"Sunesis Pharmaceuticals, Inc."
RYU.DE,Sega Sammy Holdings Inc.
SAB.DE,Sonic Healthcare Limited
SAL.DE,Sabre Resources Limited
SANT.DE,Kontron AG
SAP.DE,SAP SE
SBIO.DE,Invesco NASDAQ Biotech UCITS ETF
SBS.DE,Stratec SE
SCA.DE,Svenska Cellulosa Aktiebolaget SCA (publ)
SCHE.DE,WisdomTree Short CHF Long EUR
SCL.DE,Schlumberger Limited
SCM.DE,Schumag Aktiengesellschaft
SCO.DE,Cybits Holding AG
SCS.DE,"SDC- Investimentos, SGPS, SA"
SCU.DE,Schuler AG
SCZ.DE,Sun Communities Inc.
SDA.DE,Sealed Air Corporation
SDRC.DE,SCOR SE
SEAC.DE,UBS (Lux) Fund Solutions – MSCI World Socially Responsible UCITS ETF
SEBC.DE,Skandinaviska Enskilda Banken AB (publ)
SECD.DE,iShares € Govt Bond Climate UCITS ETF EUR (Dist)
SEE.DE,Sears Holdings Corporation
SEP.DE,Secure Energy Services Inc.
SES.DE,"SES, S.A."
SFE.DE,Synchrony Financial
SFT.DE,SoftBank Group Corp.
SGE.DE,Société Générale Société anonyme
SGG.DE,Silver Base Group Holdings Limited
SHE.DE,Protean Wave Energy Ltd
SHG.DE,Sun Hung Kai Properties Limited
SHM.DE,Shimano Inc.
SHV.DE,Shougang Concord International Enterprises Company Limited
SID.DE,State Bank of India
SII.DE,Wheaton Precious Metals Corp
SIM.DE,Simona AG
SJR.DE,"Superior Energy Services, Inc."
SKM.DE,SKY Perfect JSAT Holdings Inc.
SKT.DE,Storebrand ASA
SKYE.DE,First Trust Cloud Computing UCITS ETF
SLD.DE,SEEK Limited
SLT.DE,Schaltbau Holding AG
SLVR.DE,Global X Silver Miners UCITS ETF
SMB.DE,Schwalbchen Molkerei Jakob Berz AG
SMH.DE,VanEck Vectors Semiconductor UCITS ETF
SMID.DE,China Medical &amp; HealthCare Group Limited
SMLP.DE,Invesco Morningstar US Energy Infrastructure MLP UCITS ETF
SMM.DE,Sumitomo Chemical Co. Ltd.
SNAV.DE,iShares $ Corp Bond 0-3yr ESG UCITS ETF
SND.DE,Schneider Electric S.E.
SNV.DE,Sin Heng Heavy Machinery Limited
SNY.DE,"Scripps Networks Interactive, Inc."
SOFT.DE,Purpose Enterprise Software ESG-S UCITS ETF
SOL.DE,Solvay SA
SPB.DE,Sedlmayr Grund und Immobilien KGaA
SPE.DE,Saipem SpA
SPFF.DE,SPDR® Bloomberg Global Aggregate Bond UCITS ETF EUR Acc Hedged
SPI.DE,Sappi Limited
SPPI.DE,SPDR Blmbrg Bcly 3-7 Yr EUR Corp BdETF
SPPL.DE,SPDR Barclays 7+ Euro Corp Bd ETF
SPY.DE,NuStar Energy L.P.
SPYB.DE,SPDR MSCI EM Europe ETF
SPYC.DE,SPDR MSCI Europe Consumer Staples UCITS ETF
SPYD.DE,SPDR S&P US Dividend Aristocrats UCITS ETF
SPYG.DE,SPDR S&P UK Dividend Aristocrats UCITS ETF
SPYI.DE,SPDR MSCI ACWI IMI UCITS ETF
SPYR.DE,SPDR MSCI Europe Consumer Discretionary UCITS ETF
SPYV.DE,SPDR S&P Emerging Markets Dividend Aristocrats UCITS ETF
SPYX.DE,SPDR MSCI Emerging Markets Small Cap UCITS ETF
SPZI.DE,MISTRAL Media AG
SRJ.DE,SpartanNash Company
SRS.DE,Canadian Zinc Corp.
SRT.DE,Sartorius Aktiengesellschaft
SSPY.DE,Leverage Shares -3x Short US 500 ETP Securities
SST.DE,Heeton Holdings Limited
SSU.DE,"Samsung Electronics Co., Ltd."
STAA.DE,Stanley Electric Co. Ltd.
STG.DE,STINAG Stuttgart Invest AG
STK.DE,SPDR MSCI Europe Technology UCITS ETF
STM.DE,Stabilus SE
STR.DE,SPDR MSCI Europe Consumer Discretionary UCITS ETF
STT.DE,SPDR MSCI Europe Communication Services UCITS ETF
SUI.DE,"Sekisui Chemical Co., Ltd."
SUN.DE,Sunoco Logistics Partners L.P.
SVC.DE,Service Corporation International
SVU.DE,Stealth Ventures Inc.
SWI.DE,Swire Pacific Limited
SWN.DE,Southwest Airlines Co.
SXC.DE,Sunny Optical Technology (Group) Company Ltd.
SYBT.DE,SPDR Bloomberg U.S. Treasury Bond UCITS ETF
SYBX.DE,SPDR Citi Asia Local Government Bd ETF
SYE.DE,"Syntel, Inc."
SYK.DE,Stryker Corporation
SYM.DE,Symantec Corporation
SYT.DE,Softing AG
SYV.DE,3D Systems Corporation
SYY.DE,Sysco Corporation
SZO.DE,SHL Telemedicine Ltd.
TAL.DE,Taro Pharmaceutical Industries Ltd.
TAN.DE,RadioShack Corp.
TBB.DE,Tembec Inc.
TBT.DE,Tokuyama Corp.
TCBT.DE,VanEck iBoxx EUR Corporates UCITS ETF
TCS.DE,TASER International Inc.
TCX.DE,"TUBACEX, S.A."
TDF.DE,"Takano Co., Ltd."
TDT.DE,Tech Data Corp.
TDW.DE,Tidewater Inc.
TEL.DE,Lyxor Index Fund - Lyxor Stoxx Europe 600 Telecommunications UCITS ETF Acc
TEO.DE,Telecom Argentina S.A.
TEX.DE,Castellum AB (publ)
TFC.DE,TCF Financial Corporation
TGBT.DE,VanEck iBoxx EUR Sovereign Diversified 1-10 UCITS ETF
TGI.DE,"TETRA Technologies, Inc."
TGNA.DE,Transgene SA
TGR.DE,"Yum! Brands, Inc."
TGT.DE,11880 Solutions AG
THC.DE,Tenet Healthcare Corp.
THD.DE,"Team Health Holdings, Inc."
THR.DE,Cesca Therapeutics Inc.
THS.DE,"TheStreet, Inc."
THYF.DE,Thai Union Group Public Company Limited
TIGR.DE,Legal & General Ucits Etf Plc - LandG India INR Government Bond Ucits ETF
TIP.DE,Titan Petrochemicals Group Ltd.
TJX.DE,"The TJX Companies, Inc."
TLK.DE,Toll Brothers Inc.
TLS.DE,Telia Company AB
TMP.DE,Panorama Petroleum Inc.
TMV.DE,TeamViewer SE
TMW.DE,"Monster Worldwide, Inc."
TOK.DE,"Tokyo Steel Manufacturing Co., Ltd."
TPB.DE,"PrivateBancorp, Inc."
TPX.DE,"Toppan Printing Co., Ltd."
TRC.DE,Treasury Metals Inc.
TRDX.DE,Invesco US Treasury Bond 7-10 Year UCITS ETF
TRET.DE,VanEck Global Real Estate UCITS ETF
TRFE.DE,Invesco US Treasury Bond UCITS ETF
TRP.DE,TransGlobe Energy Corporation
TRS.DE,TransCanada Corporation
TRT.DE,TransAtlantic Petroleum Ltd.
TRU.DE,Traumhaus AG
TRV.DE,Lyxor Index Fund - Lyxor STOXX Europe 600 Travel & Leisure UCITS ETF
TSLA.DE,Oi S.A.
TSN.DE,The Local Shopping REIT plc
TSP.DE,Telefônica Brasil S.A.
TSQ.DE,"Trans Cosmos, Inc."
TSWE.DE,VanEck Sustainable World Equal Weight UCITS ETF
TTC.DE,Transtec AG
TUP.DE,Tupperware Brands Corporation
TUR.DE,Lyxor MSCI Turkey UCITS ETF
TVNB.DE,Up Energy Development Group Limited
TWN.DE,Lyxor MSCI Taiwan UCITS ETF - Acc-EUR
TXA.DE,AmaTech AG
TXG.DE,Terex Corporation
TXT.DE,Textron Inc.
TYG.DE,Tingyi Cayman Islands Holding Corp.
UAN.DE,Yorbeau Resources Inc.
UCD.DE,UC Resources Ltd.
UCRP.DE,Amundi Index Solutions - Amundi Index US Corp SRI
UDIV.DE,Global X SuperDividend UCITS ETF
UGI.DE,Sugi Holdings Co. Ltd.
UGL.DE,"U.S. Global Investors, Inc."
UHS.DE,Universal Health Services Inc.
UNH.DE,UnitedHealth Group Incorporated
UNP.DE,Union Pacific Corporation
UPH.DE,US Physical Therapy Inc.
UQM.DE,UQM Technologies Inc.
USA.DE,Lyxor MSCI USA UCITS ETF Dist
USE.DE,Beate Uhse AG
USF.DE,Oculus VisionTech Inc.
UST.DE,Lyxor Nasdaq-100 Ucits ETF Acc
USTP.DE,Ossiam US Steepener
USV.DE,USS Co. Ltd.
UTI.DE,Lyxor Index Fund - Lyxor Stoxx Europe 600 Utilities UCITS ETF Acc
UUU.DE,3U Holding AG
UVV.DE,Universal Corporation
VALU.DE,BNP Paribas Easy ESG Equity Value Europe
VAW.DE,Vaalco Energy Inc.
VBK.DE,VERBIO Vereinigte BioEnergie AG
VCV.DE,Vicor Corp.
VCXA.DE,"Viacom, Inc."
VECP.DE,Vanguard EUR Corporate Bond UCITS ETF
VERX.DE,Vanguard FTSE Developed Europe ex UK UCITS ETF
VET.DE,Vectren Corporation
VFEM.DE,Vanguard FTSE Emerging Markets UCITS ETF
VGR.DE,Vector Group Ltd.
VIA.DE,Viatris Inc.
VIS.DE,Viscofan SA
VJPN.DE,Vanguard FTSE Japan UCITS ETF
VLON.DE,Valora Holding AG
VMC.DE,Vulcan Materials Company
VMID.DE,Vanguard FTSE 250 UCITS ETF
VNM.DE,"Varian Medical Systems, Inc."
VNRT.DE,Vanguard FTSE North America UCITS ETF
VOC.DE,magicJack VocalTec Ltd.
VOR.DE,BC Moly Ltd.
VOT.DE,Visiodent Société Anonyme
VOX.DE,VOXX International Corporation
VQT.DE,va-Q-tec AG
VTC.DE,Vtech Holdings Ltd.
VUSA.DE,Vanguard S&P 500 UCITS ETF
WAL.DE,"Walter Energy, Inc."
WAT.DE,Lyxor World Water (DR) UCITS ETF Dist
WDC.DE,Western Digital Corporation
WDH.DE,William Demant Holding A/S
WELL.DE,HAN-GINS Indxx Healthcare Megatrend Equal Weight UCITS ETF
WELX.DE,Amundi S&P Global Communication Services ESG UCITS ETF DR EUR Acc
WFG.DE,West China Cement Limited
WGL.DE,WGL Holdings Inc.
WHR.DE,Whirlpool Corporation
WING.DE,iShares Fallen Angels High Yield Corp Bond UCITS ETF USD (Dist)
WMB.DE,"The Williams Companies, Inc."
WMC.DE,Alumina Limited
WMT.DE,Walmart Inc.
WNDY.DE,Global X Wind Energy UCITS ETF
WNRG.DE,WisdomTree Energy Enhanced - EUR Daily Hedged
WPS.DE,"West Pharmaceutical Services, Inc."
WRLD.DE,Rize Environmental Impact 100 UCITS ETF
WSO.DE,wallstreet:online AG
WTAI.DE,WisdomTree Artificial Intelligence UCITS ETF
WTER.DE,WisdomTree New Economy Real Estate UCITS ETF
WTRE.DE,WisdomTree New Economy Real Estate UCITS ETF
WTT.DE,Marenica Energy Ltd
WWR.DE,Woolworths Limited
XEMD.DE,Xtrackers MSCI Emerging Markets UCITS ETF
XESP.DE,Xtrackers Spain UCITS ETF
XFIN.DE,Global X FinTech UCITS ETF
XHS.DE,HomeServe plc
XIN.DE,Shandong Xinhua Pharmaceutical Co. Ltd.
XLE.DE,Legend Power Systems Inc.
XLG.DE,XL Group plc
XOM.DE,XOMA Corporation
XPH.DE,Amphenol Corp
XSVT.DE,Xtrackers Bloomberg Commodity ex-Agriculture & Livestock Swap UCITS ETF
XTL.DE,Anoto Group AB (publ)
XYLD.DE,Xtrackers ESG USD Corporate Bond Short Duration UCITS ETF
XYLE.DE,Xtrackers USD Corporate Bond Short Duration SRI PAB UCITS ETF
YCS.DE,Cybercom Group AB
YOU.DE,About You Holding SE
YPF.DE,YPF S.A.
YSG.DE,Silver Grant International Industries Limited
YUM.DE,SHK Hong Kong Industries Limited
ZPDD.DE,SPDR S&P U.S. Consumer Discretionary Select Sector UCITS ETF
ZPDE.DE,SPDR S&P U.S. Energy Select Sector UCITS ETF
ZPDF.DE,SPDR S&P U.S. Financials Select Sector UCITS ETF
ZPDH.DE,SPDR S&P U.S. Health Care Select Sector UCITS ETF
ZPDI.DE,SPDR S&P U.S. Industrials Select Sector UCITS ETF
ZPDM.DE,SPDR S&P U.S. Materials Select Sector UCITS ETF
ZPDS.DE,SPDR S&P U.S. Consumer Staples Select Sector UCITS ETF
ZPDT.DE,SPDR S&P U.S. Technology Select Sector UCITS ETF
ZPDU.DE,SPDR S&P U.S. Utilities Select Sector UCITS ETF
ZSB.DE,Sirona Biochem Corp.
ZSL.DE,Solar Capital Ltd.
ABEC.BE,Alphabet Inc
ABG.BE,AmerisourceBergen Corp
ABL.BE,Abbott Laboratories
ABM.BE,Ban Loong Holdings Ltd
ABR.BE,Barrick Gold Corp
ABT.BE,Advanced Bitcoin Technologies AG
ACCA.BE,Arch Resources Inc
ACN.BE,Aspocomp Group PLC
ACR.BE,Accor SA
ACT.BE,AlzChem Group AG
ACV.BE,ACE Aviation Holdings Inc
ADC.BE,AdCapital AG
ADIA.BE,Adecco Group AG
ADM.BE,Archer-Daniels Midland Co
ADP.BE,Automatic Data Processing Inc
ADV.BE,ADVA Optical Networking SE
ADX.BE,Acanthe Developpement SA
ADZ.BE,Adolfo Dominguez SA
AEP.BE,American Electric Power Co Inc
AES.BE,The AES Corp
AEY.BE,Mega Matrix Corp
AFL.BE,Aflac Inc
AFT.BE,Abercrombie & Fitch Co
AGE.BE,Agfa-Gevaert NV
AGL.BE,Agree Realty Corp
AGR.BE,AGROB Immobilien AG
AGT.BE,AptarGroup Inc
AGX.BE,Silver X Mining Corp
AHG.BE,Pure Energy Minerals Ltd
AIR.BE,Airbus SE
AIV.BE,Apartment Investment & Management Co
AJXA.BE,AFC Ajax NV
AKA.BE,Enento Group PLC
AKP.BE,Anika Therapeutics Inc
ALD.BE,Honeywell International Inc
ALG.BE,ALBIS Leasing AG
ALK.BE,Alaska Air Group Inc
ALV.BE,Allianz SE
ALX.BE,Alexanderwerk AG
AMC.BE,Albemarle Corp
AMD.BE,Advanced Micro Devices Inc
AMG.BE,Amgen Inc
AMNA.BE,Ambev SA
AMP.BE,AMP Ltd
ANW.BE,Immuron Ltd
AOA.BE,Atkore Inc
AOD.BE,Anglogold Ashanti Ltd
AOF.BE,ATOSS Software AG
AON.BE,Aozora Bank Ltd
AOR.BE,Solaria Energia y Medio Ambiente SA
APM.BE,ad pepper media International NV
APO.BE,CleanGo Innovations Inc
APPH.BE,Apontis Pharma AG
ARC.BE,Aker BP ASA
ARL.BE,Aareal Bank AG
ARW.BE,Arrow Electronics Inc
ASG.BE,Assicurazioni Generali
ASX.BE,PT Astra Agro Lestari Tbk
ATI.BE,Athabasca Oil Corp
ATY.BE,Artemis Resources Ltd
AUB.BE,Lepidico Ltd
AUD.BE,Autodesk Inc
AVA.BE,Ascopiave SpA
AVI.BE,Viking Mines Ltd
AVT.BE,AviChina Industry & Technology Co Ltd
BAC.BE,Verizon Communications Inc
BASA.BE,Basf SE
BBDC.BE,Bombardier Inc
BBQ.BE,Beter Bed Holding
BBVA.BE,Banco Bilbao Vizcaya Argentaria SA
BBY.BE,Bed Bath & Beyond Inc
BCO.BE,Boeing Co
BDD.BE,Conico Ltd
BFK.BE,Bastfaserkontor AG
BGR.BE,China High Speed Transmission Equipment Group Co Ltd
BGT.BE,Bridgestone Corp
BHM.BE,Bachem Holding AG
BHP.BE,BHP Group Ltd
BIO.BE,Biotest AG
BJK.BE,Webis Holdings PLC
BJO.BE,BIO-key International Inc
BKD.BE,Bruker Corp
BKF.BE,Black Knight Inc
BKN.BE,Bank of Nova Scotia
BLD.BE,British Land Co PLC
BLE.BE,bluebird bio Inc
BME.BE,Beijing Media Corp Ltd
BMI.BE,BP Prudhoe Bay Royalty Trust
BNE.BE,Burcon NutraScience Corp
BNR.BE,Brenntag SE
BOF.BE,BOC Hong Kong Holdings Ltd
BON.BE,Boiron SA
BOSS.BE,Hugo Boss AG
BOX.BE,"Becton, Dickinson and Co"
BREA.BE,Bank Bradesco SA
BRYN.BE,Berkshire Hathaway Inc
BSL.BE,Basler AG
BSND.BE,Danone SA
BSPA.BE,BAE Systems PLC
BSR.BE,GoldMining Inc
BST.BE,Bastei Luebbe AG
BSX.BE,Boston Scientific Corp
BTO.BE,Cadence Bank
BUD.BE,Buru Energy Ltd
BUI.BE,Burlington Stores Inc
BUY.BE,Best Buy Co Inc
BWB.BE,Baader Bank AG.
BWZ.BE,BWX Ltd
BZH.BE,Active Energy Group PLC
CAL.BE,Camden Property Trust
CAR.BE,Carrefour
CBA.BE,Brilliance China Automotive Holdings Ltd
CBT.BE,Cabot Corp
CBZ.BE,Capral Ltd
CCAP.BE,Corestate Capital Holding SA
CCB.BE,Instant Group AG
CCE.BE,Cenkos Securities PLC
CCJ.BE,Cincinnati Financial Corp
CCV.BE,Chamberlin PLC
CDE.BE,City Developments Ltd
CDS.BE,Cadence Design Systems Inc
CDW.BE,CDW Corp
CEI.BE,Core Laboratories NV
CEZ.BE,CEZ a.s
CGCP.BE,China Green (Holdings) Ltd
CHE.BE,China Huarong Asset Management Co Ltd
CHH.BE,CK Infrastructure Holdings Ltd
CHK.BE,China Resources Beer (Holdings) Co Ltd
CIA.BE,China Eastern Airlines Corp Ltd
CID.BE,Energy Company of Minas Gerais
CIG.BE,Carel Industries SpA
CIM.BE,China International Capital Corp Ltd
CKX.BE,CryoPort Inc
CLB.BE,Christina Lake Cannabis Corp
CLH.BE,Cardinal Health Inc
CLM.BE,Clearside Biomedical Inc
CLY.BE,Callaway Golf Co
CMC.BE,JPMorgan Chase & Co
CMG.BE,Kesselrun Resources Ltd
CMS.BE,Commercial Metals Co
CNK.BE,Inca Minerals Ltd
CNO.BE,China Railway Group Ltd
CNP.BE,Ingredion Inc
COF.BE,Cofinimmo SA/NV
COP.BE,CompuGroup Medical SE & Co KgaA
CPA.BE,Colgate-Palmolive Co
CPE.BE,AV Concept Holdings Ltd
CPF.BE,CITIC Ltd
CPK.BE,Capcom Co Ltd
CPT.BE,CollPlant Biotechnologies Ltd
CRC.BE,Canadian Natural Resources Ltd
CRO.BE,Open Orphan PLC
CSA.BE,Accenture PLC
CSF.BE,Thales
CSH.BE,Cenit AG
CSJ.BE,CSL Ltd
CSQ.BE,Creditshelf AG
CSR.BE,CSR Ltd
CSV.BE,Corporacion Financiera Alba SA
CTM.BE,China Mobile Ltd
CTO.BE,Costco Wholesale Corp
CTZ.BE,Citizen Watch Co Ltd
CVG.BE,CSPC Pharmaceutical Group Ltd
CVLC.BE,Vale SA
CVS.BE,CVS Health Corp
CVV.BE,China Coal Energy Co Ltd
CWB.BE,Currys PLC
CWC.BE,CEWE Stiftung & Co KGaA
CXT.BE,Carmat
CYA.BE,Chiyoda Corp
CYB.BE,CyberArk Software Ltd
CYD.BE,China Yuchai International Ltd
CYTH.BE,Lumen Technologies Inc
CZR.BE,CITIC Resources Holdings Ltd
DAG.BE,Dacian Gold Ltd
DAM.BE,Data Modul AG
DAO.BE,Screen Holdings Co Ltd
DAR.BE,Datron AG
DAT.BE,DAVIDsTEA Inc
DBD.BE,Diebold Nixdorf Inc
DBI.BE,Deutsche Biotech Innovativ AG
DBV.BE,DBV Technologies SA
DCO.BE,Deere & Co
DEF.BE,Deutsche Fachmarkt AG
DEX.BE,Delticom AG
